source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K04054.01,6428794,CONFIRMED,169.135056,8.931,640.7,2.21,5171.0,0.801,4.545
KOI,K04055.01,3228825,FALSE POSITIVE,0.73095491,2.206,29.6,0.88,6454.0,1.587,4.163
KOI,K02195.03,11401767,CONFIRMED,6.84978728,4.919,139.2,1.83,6056.0,1.209,4.332
KOI,K07673.01,3852872,CANDIDATE,80.769893,4.2,128.5,1.87,4965.0,1.708,3.961
KOI,K04125.01,9099950,FALSE POSITIVE,1.111362442,6.24,133.9,2.86,6486.0,2.308,3.872
KOI,K02287.02,9718066,CONFIRMED,28.9060526,3.099,99.0,0.79,4657.0,0.67,4.641
KOI,K04126.01,9272070,CONFIRMED,8.10503551,4.459,209.9,1.45,6201.0,0.989,4.472
KOI,K04127.01,5088400,CONFIRMED,8.82715783,2.019,368.6,1.67,5550.0,0.878,4.539
KOI,K04128.01,4669402,FALSE POSITIVE,143.196381,10.424,618.1,6.64,6007.0,1.06,4.333
KOI,K04057.01,3757407,FALSE POSITIVE,9.089151782,3.1886,110.1,4.35,6729.0,4.099,3.493
KOI,K04058.01,4769931,FALSE POSITIVE,1.87886973,3.876,181.9,1.04,5448.0,0.734,4.613
KOI,K04059.01,9220612,FALSE POSITIVE,0.979161676,2.942,160.2,1.03,5390.0,0.78,4.591
KOI,K04060.01,9086154,CANDIDATE,225.26213,14.459,389.2,2.36,5799.0,1.191,4.276
KOI,K04061.01,6806695,FALSE POSITIVE,0.855922327,1.514,130.9,0.87,5437.0,0.759,4.539
KOI,K07674.01,3858943,FALSE POSITIVE,25.9528725,12.434,164.1,1.53,6370.0,1.106,4.41
KOI,K04129.01,11970988,CANDIDATE,2.31482311,2.127,58.6,0.69,5240.0,0.923,4.428
KOI,K04130.01,10858803,FALSE POSITIVE,0.952374508,3.006,204.8,1.13,4754.0,0.821,4.508
KOI,K04131.01,6129694,FALSE POSITIVE,0.936751792,5.658,26.4,2.07,7843.0,2.909,3.829
KOI,K04132.01,5957181,FALSE POSITIVE,393.34331,9.481,1750.0,2.27,3994.0,0.554,4.717
KOI,K04133.01,7601918,FALSE POSITIVE,0.621361411,1.0628,45.0,1.12,6234.0,1.66,4.046
KOI,K04341.01,6792908,CANDIDATE,10.778313,5.256,90.7,1.25,6726.0,1.258,4.262
KOI,K04342.01,7211879,FALSE POSITIVE,0.594310785,0.9994,112.5,0.91,5931.0,0.845,4.554
KOI,K04343.01,8087812,CONFIRMED,27.2106807,10.515,99.4,1.73,5973.0,1.305,4.171
KOI,K04344.01,4863956,FALSE POSITIVE,4.31978105,7.204,65.8,3.87,5519.0,4.368,3.303
KOI,K02859.04,10397751,CANDIDATE,2.90512019,2.293,61.2,0.57,5374.0,0.721,4.555
KOI,K04409.01,5308537,CONFIRMED,14.2651545,3.601,66.3,1.06,5825.0,1.291,4.237
KOI,K04410.01,6350882,CANDIDATE,5.04404366,1.682,236.5,1.47,6039.0,0.951,4.493
KOI,K04411.01,5281113,CONFIRMED,11.17931581,3.103,90.6,1.81,6292.0,1.873,4.014
KOI,K04412.01,7847104,FALSE POSITIVE,1.284991846,2.274,29.1,1.17,6060.0,2.106,3.852
KOI,K04205.01,3450040,CANDIDATE,1.166960319,1.6823,97.8,0.88,5632.0,0.904,4.537
KOI,K07653.01,3347807,FALSE POSITIVE,324.18028,18.15,87.9,2.2,5792.0,2.183,3.835
KOI,K04206.01,8487805,FALSE POSITIVE,0.530959357,2.417,84.4,0.69,5325.0,0.75,4.607
KOI,K04207.01,9456281,CANDIDATE,0.701944362,0.641,210.8,0.8,4236.0,0.539,4.698
KOI,K04208.01,5129453,CANDIDATE,3.05772668,1.819,311.0,1.23,4483.0,0.731,4.57
KOI,K04209.01,7918478,CANDIDATE,9.9092109,2.552,942.0,2.35,5396.0,0.702,4.632
KOI,K04275.01,3336845,FALSE POSITIVE,0.996864568,1.098,86.7,0.77,5418.0,0.782,4.524
KOI,K07661.01,3645282,FALSE POSITIVE,0.673684895,1.161,51.1,0.7,5645.0,0.951,4.453
KOI,K04276.01,6026924,CONFIRMED,56.644452,16.551,104.6,2.44,6237.0,2.295,3.862
KOI,K04277.01,6525280,FALSE POSITIVE,1.710319812,2.983,43.6,0.56,5774.0,0.825,4.524
KOI,K04278.01,4861784,FALSE POSITIVE,5.62978034,5.847,379.2,1.61,5497.0,0.839,4.57
KOI,K04346.01,9509343,CANDIDATE,6.39269778,2.138,174.3,1.21,5248.0,0.943,4.416
KOI,K07664.01,3732972,FALSE POSITIVE,1.540398683,1.5676,73.0,12.65,4971.0,14.678,2.373
KOI,K04347.01,3244792,CONFIRMED,3.0570982,3.571,144.0,0.99,6021.0,0.819,4.57
